标识,函数类型,题图,模板标题,编程语言（页面展示）,运行时版本,入口函数名称,是否是编译型语言,ZipFile 地址,zipFile文件,描述,标签组,说明示例,镜像路径,服务端口,对外隐藏,排序,跳转链接,语言,陈列页面,Git仓库地址（默认github）,模板归类,服务环境变量,目标平台,模板ID,git仓库列表,使用指引
nodejs-mysql,"[""tcbrContainer""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/1e585b61c132ad870ced777b2c5059a1-MySQL.svg,Nodejs 内网直连 MySQL,Nodejs,Nodejs 18+,main,否,https://clooudbaserun-az-1258016615.cos.ap-shanghai.myqcloud.com/nodejs-mysql.zip,,"云托管服务通过内网访问 MySQL 示例. 示例使用 Nodejs (express) + mysql2 实现, 包含一套数据库 CRUD API 和一个调用 API 的前端页面.","[""express"",""mysql"",""nodejs""]","# Nodejs + MySQL 云托管服务

## 快速开始

### 配置 MySQL 连接参数

1. 初始化 MySQL 参考 [开通及使用文档](https://docs.cloudbase.net/database/configuration/db/tdsql/initialization).
2. 前往云开发控制台, 选择 `数据库 - MySQL`, 在右上角点击 `连接数据库`, 在 `连接字符串` 标签页可以获得数据库实例可以获得连接参数 `host`, `port`, `database` 参数.
3. [可选] 如果不希望使用管理员账号, 在弹窗中点击 `忘记密码` 按钮, 可以创建一套新的用户名密码.

### 部署服务

前往 [腾讯云云开发控制台](https://tcb.cloud.tencent.com/dev), 选择 `云托管`, 在 `创建服务` 区块选择 `通过模板部署`, 选择模版, 进入模板代码预览页面.
在代码预览区, 找到 `.env` 文件, 点击右上角 `编辑` 按钮, 修改 MySQL 链接相关参数, 并点击 `保存` 按钮.

```
MYSQL_ADDRESS=<mysql-instance-host>:<mysql-instance-port>
MYSQL_USERNAME=<mysql-username>
MYSQL_PASSWORD=<mysql-password>
MYSQL_DATABASE=<mysql-database>
```

之后点击 `部署` 按钮, 等待部署完成. 部署完成后, 在云托管的 `服务列表` 页面, 点击 `服务名称` 进入服务详情页, 通过服务域名即可访问服务.

## 本地调试

### 环境要求

- Nodejs 18+
- MySQL 5.7+ 或 MySQL 8.0+

### 1. 克隆项目并安装依赖

```bash
# 克隆项目
git clone https://github.com/TencentCloudBase/awesome-cloudbase-examples.git
cd cloudbaserun/nodejs-mysql

# [可选] 使用国内镜像源以提高下载速度
npm config set registry https://mirrors.cloud.tencent.com/npm/
# 使用 npm 安装依赖
npm install
```

### 2. 配置 MySQL 数据库

编辑 .env 文件，修改为你的本地 MySQL 配置

```bash
MYSQL_USERNAME=your_username
MYSQL_PASSWORD=your_password
MYSQL_ADDRESS=localhost:port
MYSQL_DATABASE=your_database
# 可以用 PORT 环境变量指定其他端口
PORT=8080
```

### 3. 启动本地开发服务器

确保本地 MySQL 服务已启动

```bash
npm start
```

应用将在 `http://localhost:8080` 启动。

### 4. 测试应用功能

- 访问 `http://localhost:8080` 查看前端页面
- 使用页面上的按钮测试计数器功能：
  - 点击 ""增加"" 按钮增加计数
  - 点击 ""清空"" 按钮重置计数
- 或者直接调用 API 接口：

  ```bash
  # 获取当前计数
  curl http://localhost:8080/api/count

  # 增加计数
  curl -X POST http://localhost:8080/api/count \
    -H ""Content-Type: application/json"" \
    -d '{""action"": ""inc""}'

  # 清空计数
  curl -X POST http://localhost:8080/api/count \
    -H ""Content-Type: application/json"" \
    -d '{""action"": ""clear""}'
  ```

### 常见问题排查

- **数据库连接失败**：检查 `.env` 文件中的数据库配置和 MySQL 服务状态
- **端口被占用**：修改 `app.js` 中的端口号或使用 `PORT` 环境变量
- **权限问题**：确保 MySQL 用户有对应数据库的读写权限

### 使用 Docker 进行本地调试（可选）

```bash
# 构建镜像
docker build -t nodejs-mysql-demo .

# 运行容器（需要先启动 MySQL 容器）
docker run --rm -p 8080:8080 nodejs-mysql-demo
```

## Dockerfile 最佳实践

请参考 [优化容器镜像](https://docs.cloudbase.net/run/develop/image-optimization)
",crunbuild-az-new.tencentcloudcr.com/cloudbase/nodejs-mysql:v0.0.1,8080,否,5,"	/platform-run/service/create?type=package&zipUrl=https://clooudbaserun-az-1258016615.cos.ap-shanghai.myqcloud.com/nodejs-mysql.zip&serverName=nodejsmysql&port=8080",中文,,,,"[{""value"":""<mysql-instance-host>:<mysql-instance-port>"",""key"":""MYSQL_ADDRESS""},{""value"":""<mysql-username>"",""key"":""MYSQL_USERNAME""},{""value"":""<mysql-password>"",""key"":""MYSQL_PASSWORD""},{""value"":""<mysql-database>"",""key"":""MYSQL_DATABASE""}]","[""国内站""]",,,
react-web-template,"[""tcbStatichost""]",https://qcloudimg.tencent-cloud.cn/raw/78f13657d6172914ad3be3fe431220ab.svg,React Web Application Template,javascript,Nodejs18.15,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/339dbb83d1b131f48d3a8b652749e6ce-raact-template.zip,"Modern Web Application Template based on React, Vite, and Tencent CloudBase","[""react"",""web""]",,,,,1,,英文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/web/cloudbase-react-template,,,"[""国际站"",""国内站""]",,,
vue-web-template,"[""tcbStatichost""]",https://qcloudimg.tencent-cloud.cn/raw/4e832fa8ee80bbeb1fe2bd1deb753cba.svg,Vue Web Application Template,javascript,Nodejs18.15,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/841bf653996c331404dad4a4223c1a37-vue-template.zip,"Modern Web Application Template based on Vue3, Vite and Tencent CloudBase","[""vue"",""web""]",,,,,2,,英文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/web/cloudbase-vue-template,,,"[""国际站"",""国内站""]",,,
scf-integration-wechat-notify,"[""scfFunc""]",,集成中心微信通用回调,nodejs,js20,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/51ee17110429d007ed0b68cefe51702f-wechat-notify.zip,集成中心微信通用回调,,,,,,100,,中文,,,,,"[""国内站"",""国际站""]",,,
nuxt-web-template,"[""tcbStatichost""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/a53b4b9b0df40309c63243969180a905-nuxt.svg,Nuxt Web 应用模板,javascript,Nodejs20.0,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/648a20932e76a9268a2c09994c6cb222-web-cloudbase-nuxt-template1.zip,基于 Nuxt 3、Vue 3 和腾讯云开发（CloudBase）的 SSG 静态站点模板，为开发者提供了快速构建全栈应用的能力,"[""nuxt"",""web""]",,,,否,4,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/web/web-cloudbase-nuxt-template,,,"[""国内站"",""国际站""]",,,
scf-python-helloworld,"[""scfFunc""]",,Python空白模板,Python3.9,Python3.9,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/5caf215502e1b32a9f6ab1c1458e7abf-python-helloworld.zip,Python 语言 空白 helloworld 模板,"[""Python""]",这是云函数 Python 语言的 空白 helloworld 模板，模板内仅包含入口文件。,,,,1,,中文,,,,,"[""国内站""]",,,
nextjs-web-template,"[""tcbStatichost""]",https://6c6f-lowcode-5g5llxbq5bc9299e-1300677802.tcb.qcloud.la/weda-uploader/2091a45cf2905b9c8f376e94b03b08d4-Next.js.svg,Nextjs Web Application Template,javascript,Nodejs20.0,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/c323fe7f469e8699f3ebc198cb277153-web-cloudbase-nextjs-template1.zip,"The SSG static site Template based on Next.js, React, and Tencent CloudBase provides developers the ability to quickly build full-stack applications.","[""nextjs"",""web""]",,,,否,3,,英文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/web/web-cloudbase-nextjs-template,,,"[""国际站"",""国内站""]",,,
vue-web-template,"[""tcbStatichost""]",https://qcloudimg.tencent-cloud.cn/raw/4e832fa8ee80bbeb1fe2bd1deb753cba.svg,Vue Web 应用模板,javascript,Nodejs18.15,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/6d1eb4965d3e7dd25dfa62bd8f8d4a39-vue-template.zip,基于 Vue 3、Vite 和腾讯云开发（CloudBase）的现代化 Web 应用模板,"[""vue"",""web""]",,,,,2,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/web/cloudbase-vue-template,,,"[""国内站"",""国际站""]",,,
cloudbase-agent-v2,"[""scfWeb"",""tcbrContainer""]",https://qcloudimg.tencent-cloud.cn/raw/5f02790737e0ff71ab148cfd965d88b2.svg,云开发 Agent 模板,Javascript,Nodejs20.19,,否,https://tcb.cloud.tencent.com/ai/agent/templates_tcbr_zip/cloudbase-js-0.0.1.zip,,云开发开源Agent，支持功能如下：MCP、语音功能、数据模型、文件上传、多会话、知识库、联网搜索、人设与回复约束、开场白、问题建议。,"[""Agent 开发平台""]",,crunbuild-az-new.tencentcloudcr.com/cloudbase/cloudbase-js:0.0.1,9000,是,100,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/cloudbase-js,创建AI Agent服务,"[{""visible"":true,""placeholder"":""请输入云开发的服务端 API Key"",""fileld"":""CLOUDBASE_APIKEY"",""key"":""CLOUDBASE_APIKEY""}]","[""国内站""]",,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/cloudbase-js""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/cloudbase-js""}}]",点击去[获取 API Key](./dev#/env/apikey)
yuanqi-js,"[""tcbrFunc""]",https://7163-qcloud-tcb-console-1258344699.tcb.qcloud.la/cloudbase-cms/upload/2025-07-03/k9kew8lmirmkk5hdk4lvbtigslpk5hii_.png,腾讯元器（旧版）,Javascript,Nodejs20.19,,否,https://tcb.cloud.tencent.com/cloud-run-function-template/cloudbase-custom-yuanqi-agent.zip,,提供 1 亿免费 token，支持微信支付MCP、微信公众号知识库、工作流编排、角色扮演等功能,"[""Agent 开发平台""]",可以对接元器旧版 Agent，它提供 1 亿免费 token，支持工作流编排、公众号知识库、角色扮演等功能,crunbuild-az-new.tencentcloudcr.com/cloudbase/cloudrun-agent-yuanqi-agent:0.0.1,,否,90,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/cloudrunfunctions/yuanqi-agent,创建AI Agent服务,"[{""placeholder"":""请输入元器的智能体ID"",""fileld"":""智能体ID"",""key"":""YUAN_QI_AGENT_ID""},{""placeholder"":""请输入元器的 Token"",""fileld"":""元器Token"",""key"":""YUAN_QI_API_KEY""}]","[""国内站""]",,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/cloudrunfunctions/yuanqi-agent""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/cloudrunfunctions/yuanqi-agent""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/cloudrunfunctions/yuanqi-agent""}}]",去[腾讯元器](https://yuanqi.tencent.com/index)创建智能体，并获取智能体ID和Token，[查看文档](https://docs.qq.com/aio/p/scxmsn78nzsuj64?p=BVUAh9OGFvSEFA7CgBOyED4)
crewai-py,"[""scfWeb"",""tcbrContainer""]",https://qcloudimg.tencent-cloud.cn/raw/1a0b19f45c687e67a4c355c378ecfb0e.png,Crew AI,Python,Python3.10,,否,https://scf-template-1307578329.cos.ap-guangzhou.myqcloud.com/crewai-python.zip,,支持与兼容 OpenAI 协议的大模型进行对话，您可以二次开发,"[""Agent 开发框架""]",支持与兼容 OpenAI 协议的大模型进行对话，您可以进行二次开发,crunbuild-az-new.tencentcloudcr.com/cloudbase/cloudrun-agent-crewai-python:v0.0.1,9000,否,7,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/crewai-python,创建AI Agent服务,"[{""placeholder"":""您可以选择已有模型，也可以输入新的模型名称"",""fileld"":""模型名"",""key"":""OPENAI_MODEL""},{""placeholder"":""请选择或输入兼容 OpenAI 协议的 Base URL"",""fileld"":""模型地址"",""key"":""OPENAI_BASE_URL""},{""placeholder"":""请输入模型调用的凭证"",""fileld"":""API Key"",""key"":""OPENAI_API_KEY""}]","[""国内站""]",demo-h56z4j4f,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/crewai-python""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/crewai-python""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/crewai-python""}}]",
coze-py,"[""scfWeb"",""tcbrContainer""]",https://qcloudimg.tencent-cloud.cn/raw/85ba8656e75faf2c1c8f859c54f71182.png,扣子,Python,Python3.10,,否,https://tcb.cloud.tencent.com/ai/agent/templates_tcbr_zip/coze-python-0.0.6.zip,,支持对接扣子平台，扣子提供了AI写作、PPT生成、网页开发与AI设计等能力,"[""Agent 开发平台""]",支持对接扣子平台，扣子提供了AI写作、PPT生成、网页开发与AI设计等能力,crunbuild-az-new.tencentcloudcr.com/cloudbase/coze-python:0.0.6,9000,否,15,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/coze-python,创建AI Agent服务,"[{""placeholder"":""请输入 Coze 平台的 token"",""fileld"":""API Token"",""key"":""COZE_API_TOKEN""},{""placeholder"":""请输入 Coze 平台的 bot_id"",""fileld"":""智能体ID"",""key"":""COZE_BOT_ID""}]","[""国内站""]",demo-30c5swy5,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/coze-python""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/coze-python""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/coze-python""}}]",查看环境变量的[获取指南](https://www.coze.cn/open/playground/chat_v3)
scf-integration-wechat-official,"[""scfFunc""]",,集成中心公众号模板,nodejs,js20,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/03bb949671781b9dddc7066876d2f651-offiaccount-0525.zip,,,,,,是,100,,中文及英文,,,,,"[""国内站"",""国际站""]",,,
book-analytics-aggregate,"[""scfFunc""]",,图书数据分析模板,javascript,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/788f8b38243f9334e0bff5372c209e63-0ti52mg44f4eqjqn8t52xt6nveoho8tl_.zip,图书数据分析云函数，包含聚合操作示例,"[""数据库"",""云开发"",""JavaScript"",""数据分析"",""聚合查询"",""MongoDB""]","你可以使用这个云函数来进行图书数据分析。在小程序中测试调用这个云函数的示例代码如下：

```js
// 获取作者统计信息
wx.cloud.callFunction({
  name: 'book-analytics',
  data: {
    action: 'getAuthorStats'
  }
}).then(res => {
  console.log('作者统计结果：', res)
})

// 响应示例
{
  ""data"": [
    {
      ""_id"": ""刘慈欣"",
      ""totalBooks"": 3,
      ""totalValue"": 167.7,
      ""averagePrice"": 55.9,
      ""books"": [
        {
          ""title"": ""三体"",
          ""price"": 55.9,
          ""isbn"": ""9787536692930""
        },
        {
          ""title"": ""三体2：黑暗森林"",
          ""price"": 55.9,
          ""isbn"": ""9787536693937""
        },
        {
          ""title"": ""三体3：死神永生"",
          ""price"": 55.9,
          ""isbn"": ""9787229030933""
        }
      ]
    }
    // ... 更多作者统计
  ],
  ""requestId"": ""1735086147_0.36272387876657_33594-193f355e_1""
}

// 获取价格区间统计
wx.cloud.callFunction({
  name: 'book-analytics',
  data: {
    action: 'getPriceRangeStats'
  }
}).then(res => {
  console.log('价格区间统计结果：', res)
})

// 响应示例
{
  ""data"": [
    {
      ""_id"": {
        ""range"": ""30元以下""
      },
      ""count"": 15,
      ""books"": [
        {
          ""title"": ""活着"",
          ""author"": ""余华"",
          ""price"": 28.0
        }
        // ... 更多图书
      ],
      ""averagePrice"": 25.5
    }
    // ... 其他价格区间
  ],
  ""requestId"": ""1735086147_0.36272387876657_33594-193f355e_1""
}

// 获取最贵的5本书
wx.cloud.callFunction({
  name: 'book-analytics',
  data: {
    action: 'getTopPricedBooks',
    data: {
      limit: 5
    }
  }
}).then(res => {
  console.log('最贵图书结果：', res)
})

// 响应示例
{
  ""data"": [
    {
      ""_id"": ""64c9f5a79f6c8e0001b60b0a"",
      ""title"": ""时间简史（珍藏版）"",
      ""author"": ""霍金"",
      ""price"": 199.0,
      ""isbn"": ""9787535732309""
    }
    // ... 更多图书
  ],
  ""requestId"": ""1735086147_0.36272387876657_33594-193f355e_1""
}

// 获取月度统计
wx.cloud.callFunction({
  name: 'book-analytics',
  data: {
    action: 'getMonthlyStats'
  }
}).then(res => {
  console.log('月度统计结果：', res)
})

// 响应示例
{
  ""data"": [
    {
      ""_id"": {
        ""year"": 2023,
        ""month"": 8
      },
      ""count"": 25,
      ""totalValue"": 1580.5,
      ""books"": [
        {
          ""title"": ""三体"",
          ""author"": ""刘慈欣"",
          ""price"": 55.9
        }
        // ... 更多图书
      ]
    }
    // ... 更多月份
  ],
  ""requestId"": ""1735086147_0.36272387876657_33594-193f355e_1""
}

// 获取作者价格统计
wx.cloud.callFunction({
  name: 'book-analytics',
  data: {
    action: 'getAuthorPriceStats'
  }
}).then(res => {
  console.log('作者价格统计结果：', res)
})

// 响应示例
{
  ""data"": [
    {
      ""_id"": ""刘慈欣"",
      ""maxPrice"": 59.9,
      ""minPrice"": 49.9,
      ""averagePrice"": 55.9,
      ""priceRange"": 10.0,
      ""totalBooks"": 3
    }
    // ... 更多作者
  ],
  ""requestId"": ""1735086147_0.36272387876657_33594-193f355e_1""
}
```

这个云函数演示了以下聚合操作的用法：

1. `group`: 分组统计，可以按作者、价格区间等维度统计
2. `sum`/`avg`/`max`/`min`: 常用的聚合函数
3. `push`: 在分组结果中保存详细数据
4. `sort`: 结果排序
5. `match`: 对聚合结果进行筛选
6. `switch`: 条件分支处理
7. `subtract`/`multiply`: 数值计算
8. `year`/`month`: 日期处理
9. `limit`: 限制结果数量

这些聚合操作可以帮助你进行复杂的数据分析，获取有价值的统计信息。你可以根据实际需求组合使用这些操作。",,,,1,,中文,,,,,"[""国际站"",""国内站""]",,,
book-management-model,"[""scfFunc""]",,图书管理模板,javascript,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/95ff1e7bac9545358ad5bc1785efdc0f-ijgsdz8rmi1gwrqongaziby7lfa5mw6t_.zip,图书管理云函数，包含 models 操作示例,"[""云开发"",""数据库"",""CRUD"",""JavaScript"",""微信小程序"",""模型层""]","你可以使用这个云函数来管理图书。在小程序中测试调用这个云函数的示例代码如下：

```js
// 创建图书
wx.cloud
  .callFunction({
    name: 'book-management',
    data: {
      action: 'createBook',
      data: {
        title: '三体',
        author: '刘慈欣',
        price: 39.9,
        isbn: '9787536692930',
      },
    },
  })
  .then((res) => {
    console.log('创建成功：', res);
  });

// 更新图书
wx.cloud
  .callFunction({
    name: 'book-management',
    data: {
      action: 'updateBook',
      data: {
        id: 'xxx', // 图书ID
        book: {
          price: 45.0,
        },
      },
    },
  })
  .then((res) => {
    console.log('更新成功：', res);
  });

// 删除图书
wx.cloud
  .callFunction({
    name: 'book-management',
    data: {
      action: 'deleteBook',
      data: {
        id: 'xxx', // 图书ID
      },
    },
  })
  .then((res) => {
    console.log('删除成功：', res);
  });

// 获取单本图书
wx.cloud
  .callFunction({
    name: 'book-management',
    data: {
      action: 'getBook',
      data: {
        id: 'xxx', // 图书ID
      },
    },
  })
  .then((res) => {
    console.log('图书信息：', res);
  });

// 获取图书列表
wx.cloud
  .callFunction({
    name: 'book-management',
    data: {
      action: 'listBooks',
      data: {},
    },
  })
  .then((res) => {
    console.log('图书列表：', res);
  });

// 搜索图书
wx.cloud
  .callFunction({
    name: 'book-management',
    data: {
      action: 'searchBooks',
      data: {
        keyword: '三体',
      },
    },
  })
  .then((res) => {
    console.log('搜索结果：', res);
  });
```

返回数据结构示例：

```js
// 创建图书返回
{
  ""data"": {
    ""id"": ""xxx"" // 图书 id
  }
}

// 更新/删除图书返回
{
  ""data"": {
    ""count"": 1 // 影响行数
  }
}

// 获取单本图书
{
  ""data"": {
    ""_id"": ""xxx"",
    ""title"": ""三体"",
    ""author"": ""刘慈欣"",
    ""price"": 39.9,
    ""isbn"": ""9787536692930""
    // ...
  }
}

// 获取图书列表返回
{
  ""data"": {
    ""records"": [
      {
        ""_id"": ""xxx"",
        ""title"": ""三体"",
        ""author"": ""刘慈欣"",
        ""price"": 39.9,
        ""isbn"": ""9787536692930""
      }
      // ...更多图书
    ],
    ""total"": 10
  }
}

// 搜索图书返回
{
  ""data"": {
    ""records"": [
      {
        ""_id"": ""xxx"",
        ""title"": ""三体"",
        ""author"": ""刘慈欣"",
        ""price"": 39.9,
        ""isbn"": ""9787536692930""
      }
      // ...更多图书
    ],
  }
}
```",,,,2,,中文,,,,,"[""国际站"",""国内站""]",,,
custom-auth,"[""scfFunc""]",,自定义登录模板,javascript,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/31fdf780208d3f06b2faf8f1afbcbd89-mo6g16k8x9s81vjj3235jmyj7ixrq3np_--1-.zip,自定义鉴权登录云函数示例,"[""用户认证"",""安全加密"",""JWT"",""云开发"",""密码管理"",""Token验证""]","你可以使用这个云函数来管理用户认证。在小程序中测试调用这个云函数的示例代码如下：

```js
// 用户注册
wx.cloud.callFunction({
  name: 'custom-auth',
  data: {
    action: 'register',
    data: {
      username: 'test@example.com',
      password: 'password123'
    }
  }
}).then(res => {
  console.log('注册结果：', res)
})

// 响应示例
{
  ""userId"": ""user1""
}

// 用户登录
wx.cloud.callFunction({
  name: 'custom-auth',
  data: {
    action: 'login',
    data: {
      username: 'test@example.com',
      password: 'password123'
    }
  }
}).then(res => {
  console.log('登录结果：', res)
})

// 响应示例
{
  ""accessToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9..."",
  ""refreshToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9..."",
  ""userId"": ""user1""
}

// 刷新访问令牌
wx.cloud.callFunction({
  name: 'custom-auth',
  data: {
    action: 'refreshToken',
    data: {
      refreshToken: ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9...""
    }
  }
}).then(res => {
  console.log('刷新令牌结果：', res)
})

// 响应示例
{
  ""accessToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9...""
}

// 获取用户信息
wx.cloud.callFunction({
  name: 'custom-auth',
  data: {
    action: 'getUserInfo',
    data: {
      authorization: ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9...""
    }
  }
}).then(res => {
  console.log('用户信息：', res)
})

// 响应示例
{
  ""_id"": ""user1"",
  ""username"": ""test@example.com"",
  ""createdAt"": ""2023-08-02T08:30:15.000Z"",
  ""updatedAt"": ""2023-08-02T08:30:15.000Z""
}

// 修改密码
wx.cloud.callFunction({
  name: 'custom-auth',
  data: {
    action: 'changePassword',
    data: {
      authorization: ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9..."",
      oldPassword: ""password123"",
      newPassword: ""newpassword123""
    }
  }
}).then(res => {
  console.log('修改密码结果：', res)
})

// 响应示例
{
  ""success"": true
}

// 更新用户信息
wx.cloud.callFunction({
  name: 'custom-auth',
  data: {
    action: 'updateUserInfo',
    data: {
      authorization: ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9..."",
      userInfo: {
        nickname: ""新昵称"",
        avatar: ""https://example.com/avatar.jpg""
      }
    }
  }
}).then(res => {
  console.log('更新用户信息结果：', res)
})

// 响应示例
{
  ""success"": true
}
```

这个认证系统包含以下特点：

1. 安全性：

   - SHA256加盐加密密码
   - JWT身份验证
   - 分离accessToken和refreshToken
   - 防止敏感信息泄露

2. 功能完整：

   - 用户注册
   - 用户登录
   - 令牌刷新
   - 获取用户信息
   - 修改密码
   - 更新用户信息

3. 令牌管理：

   - accessToken短期有效（2小时）
   - refreshToken长期有效（7天）
   - Bearer Token认证

4. 错误处理：
   - 用户名重复检查
   - 密码验证
   - 令牌有效性验证
   - 完整的错误提示

使用时注意：

1. 需要修改config.js中的密钥
2. 在生产环境中使用更强的密钥
3. 可以根据需要调整令牌过期时间
4. 建议添加请求频率限制",,,,3,,中文,,,,,"[""国际站"",""国内站""]",,,
get-openid,"[""scfFunc""]",,OPENID 模板,javascript,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/fcdca8925823878da387beb1faf52e48-teomggc96q8wp0rmmleg6b4ablpi9apb_.zip,获取 openid 云函数示例,"[""微信小程序"",""云开发"",""云函数"",""用户鉴权"",""JavaScript""]","你可以使用这个云函数来获取用户的 OPENID。在小程序中测试调用这个云函数的示例代码如下：

```js
wx.cloud.callFunction({
  name: 'get-openid',
  complete: (res) => {
    console.log('callFunction result: ', res);
  },
});
```

这将会在调试器中输出如下结构的对象：

```json
{
  ""openid"": ""oxxxxxxxxxxxxxx"",
  ""appid"": ""wxxxxxxxxxxx"",
  ""unionid"": ""oxxx_xxxxxxxxxxxxx"" // 仅在满足 unionId 获取条件时返回
}
```",,,,4,,中文,,,,,"[""国际站"",""国内站""]",,,
